"name","stayed","club","season","points","games","ef","minutes","plusminus","ppg","mpg","efpg","morethan15mpg","morethan5ppg"
"KERUSCH S",0,"Artland Dragons","2012/13",111,27,115,291,-13,4.11,10.78,4.26,"Less than 15 minutes/game","Less than 5 points/game"
"MALLET D",0,"Artland Dragons","2012/13",283,24,262,672,102,11.79,28,10.92,"More than 15 minutes/game","More than 5 points/game"
"NJEI A",1,"Artland Dragons","2012/13",30,22,25,202,-35,1.36,9.18,1.14,"Less than 15 minutes/game","Less than 5 points/game"
"POPOVIC P",0,"Artland Dragons","2012/13",291,33,244,492,-36,8.82,14.91,7.39,"Less than 15 minutes/game","More than 5 points/game"
"RATKOVICA B",0,"Artland Dragons","2012/13",47,8,61,213,27,5.88,26.62,7.62,"More than 15 minutes/game","More than 5 points/game"
"SPöLER B",0,"Artland Dragons","2012/13",9,12,9,43,-14,0.75,3.58,0.75,"Less than 15 minutes/game","Less than 5 points/game"
"STRASSER J",1,"Artland Dragons","2012/13",205,34,240,795,0,6.03,23.38,7.06,"More than 15 minutes/game","More than 5 points/game"
"TAYLOR B",0,"Artland Dragons","2012/13",397,29,371,818,29,13.69,28.21,12.79,"More than 15 minutes/game","More than 5 points/game"
"VALTERS K",0,"Artland Dragons","2012/13",63,8,60,165,-20,7.88,20.62,7.5,"More than 15 minutes/game","More than 5 points/game"
"ANDERSON J",0,"Basketball Löwen Braunschweig","2012/13",203,21,179,517,-15,9.67,24.62,8.52,"More than 15 minutes/game","More than 5 points/game"
"BARTON L",0,"Basketball Löwen Braunschweig","2012/13",138,16,178,361,36,8.62,22.56,11.12,"More than 15 minutes/game","More than 5 points/game"
"BOATENG E",0,"Basketball Löwen Braunschweig","2012/13",244,32,330,675,-44,7.62,21.09,10.31,"More than 15 minutes/game","More than 5 points/game"
"DAVIS J",0,"Basketball Löwen Braunschweig","2012/13",116,18,105,369,-1,6.44,20.5,5.83,"More than 15 minutes/game","More than 5 points/game"
"GERTZ L",1,"Basketball Löwen Braunschweig","2012/13",5,1,5,22,23,5,22,5,"More than 15 minutes/game","Less than 5 points/game"
"KULAWICK R",1,"Basketball Löwen Braunschweig","2012/13",153,33,121,460,-86,4.64,13.94,3.67,"Less than 15 minutes/game","Less than 5 points/game"
"LAND E",0,"Basketball Löwen Braunschweig","2012/13",55,27,54,165,-25,2.04,6.11,2,"Less than 15 minutes/game","Less than 5 points/game"
"MCELROY I",1,"Basketball Löwen Braunschweig","2012/13",332,34,402,1048,-14,9.76,30.82,11.82,"More than 15 minutes/game","More than 5 points/game"
"MCFADDEN T",0,"Basketball Löwen Braunschweig","2012/13",81,15,70,219,-17,5.4,14.6,4.67,"Less than 15 minutes/game","More than 5 points/game"
"MITCHELL C",0,"Basketball Löwen Braunschweig","2012/13",144,11,106,252,-24,13.09,22.91,9.64,"More than 15 minutes/game","More than 5 points/game"
"MITTMANN N",1,"Basketball Löwen Braunschweig","2012/13",118,30,155,554,2,3.93,18.47,5.17,"More than 15 minutes/game","Less than 5 points/game"
"NANA H",0,"Basketball Löwen Braunschweig","2012/13",287,27,256,685,-70,10.63,25.37,9.48,"More than 15 minutes/game","More than 5 points/game"
"PIGRAM C",0,"Basketball Löwen Braunschweig","2012/13",185,21,146,430,-40,8.81,20.48,6.95,"More than 15 minutes/game","More than 5 points/game"
"SANT-ROOS H",0,"Basketball Löwen Braunschweig","2012/13",15,5,24,50,33,3,10,4.8,"Less than 15 minutes/game","Less than 5 points/game"
"SCHNEIDERS N",1,"Basketball Löwen Braunschweig","2012/13",167,33,215,413,-70,5.06,12.52,6.52,"Less than 15 minutes/game","More than 5 points/game"
"SCHRöDER D",1,"Basketball Löwen Braunschweig","2012/13",384,32,321,808,-78,12,25.25,10.03,"More than 15 minutes/game","More than 5 points/game"
"FORD S",0,"Brose Bamberg","2012/13",385,32,426,693,188,12.03,21.66,13.31,"More than 15 minutes/game","More than 5 points/game"
"GAVEL A",1,"Brose Bamberg","2012/13",473,32,481,945,273,14.78,29.53,15.03,"More than 15 minutes/game","More than 5 points/game"
"GIPSON S",0,"Brose Bamberg","2012/13",201,20,163,444,87,10.05,22.2,8.15,"More than 15 minutes/game","More than 5 points/game"
"GOLDSBERRY J",0,"Brose Bamberg","2012/13",101,26,189,512,200,3.88,19.69,7.27,"More than 15 minutes/game","Less than 5 points/game"
"JACOBSEN C",1,"Brose Bamberg","2012/13",370,34,401,972,328,10.88,28.59,11.79,"More than 15 minutes/game","More than 5 points/game"
"MASSEY J",0,"Brose Bamberg","2012/13",113,10,138,223,62,11.3,22.3,13.8,"More than 15 minutes/game","More than 5 points/game"
"NACHBAR B",0,"Brose Bamberg","2012/13",425,33,400,771,231,12.88,23.36,12.12,"More than 15 minutes/game","More than 5 points/game"
"NEUMANN P",1,"Brose Bamberg","2012/13",191,33,239,439,92,5.79,13.3,7.24,"Less than 15 minutes/game","More than 5 points/game"
"OGILVY A",0,"Brose Bamberg","2012/13",83,7,91,115,43,11.86,16.43,13,"More than 15 minutes/game","More than 5 points/game"
"RENFROE A",0,"Brose Bamberg","2012/13",76,11,125,300,75,6.91,27.27,11.36,"More than 15 minutes/game","More than 5 points/game"
"RICHTER J",1,"Brose Bamberg","2012/13",2,5,0,9,-8,0.4,1.8,0,"Less than 15 minutes/game","Less than 5 points/game"
"ROCKMANN M",0,"Brose Bamberg","2012/13",4,14,-5,27,-1,0.29,1.93,-0.36,"Less than 15 minutes/game","Less than 5 points/game"
"SCHMIDT D",1,"Brose Bamberg","2012/13",38,17,34,146,6,2.24,8.59,2,"Less than 15 minutes/game","Less than 5 points/game"
"TADDA K",1,"Brose Bamberg","2012/13",118,33,149,548,125,3.58,16.61,4.52,"More than 15 minutes/game","Less than 5 points/game"
"WALSH M",0,"Brose Bamberg","2012/13",61,5,81,111,5,12.2,22.2,16.2,"More than 15 minutes/game","More than 5 points/game"
"ZIRBES M",0,"Brose Bamberg","2012/13",274,31,338,611,189,8.84,19.71,10.9,"More than 15 minutes/game","More than 5 points/game"
"BURRELL S",0,"Eisbären Bremerhaven","2012/13",517,32,443,1052,-16,16.16,32.88,13.84,"More than 15 minutes/game","More than 5 points/game"
"BURTSCHI J",0,"Eisbären Bremerhaven","2012/13",325,33,454,953,83,9.85,28.88,13.76,"More than 15 minutes/game","More than 5 points/game"
"CANTY A",1,"Eisbären Bremerhaven","2012/13",47,25,56,250,12,1.88,10,2.24,"Less than 15 minutes/game","Less than 5 points/game"
"DREVO A",0,"Eisbären Bremerhaven","2012/13",134,18,145,332,-18,7.44,18.44,8.06,"More than 15 minutes/game","More than 5 points/game"
"EL DOMIATY J",1,"Eisbären Bremerhaven","2012/13",53,16,45,99,18,3.31,6.19,2.81,"Less than 15 minutes/game","Less than 5 points/game"
"EVERETT T",1,"Eisbären Bremerhaven","2012/13",57,10,71,175,1,5.7,17.5,7.1,"More than 15 minutes/game","More than 5 points/game"
"HARRIS A",0,"Eisbären Bremerhaven","2012/13",200,26,173,629,-44,7.69,24.19,6.65,"More than 15 minutes/game","More than 5 points/game"
"JACKSON S",0,"Eisbären Bremerhaven","2012/13",397,33,406,1024,-18,12.03,31.03,12.3,"More than 15 minutes/game","More than 5 points/game"
"KONE B",0,"Eisbären Bremerhaven","2012/13",9,7,8,31,10,1.29,4.43,1.14,"Less than 15 minutes/game","Less than 5 points/game"
"KRUGER K",0,"Eisbären Bremerhaven","2012/13",15,5,11,65,-20,3,13,2.2,"Less than 15 minutes/game","Less than 5 points/game"
"MALU J",1,"Eisbären Bremerhaven","2012/13",0,1,0,2,-2,0,2,0,"Less than 15 minutes/game","Less than 5 points/game"
"MORRISON S",0,"Eisbären Bremerhaven","2012/13",352,34,394,811,-11,10.35,23.85,11.59,"More than 15 minutes/game","More than 5 points/game"
"RAFFINGTON J",1,"Eisbären Bremerhaven","2012/13",35,15,30,60,5,2.33,4,2,"Less than 15 minutes/game","Less than 5 points/game"
"WALESZKOWSKI K",0,"Eisbären Bremerhaven","2012/13",228,34,286,546,-41,6.71,16.06,8.41,"More than 15 minutes/game","More than 5 points/game"
"ZWIENER P",0,"Eisbären Bremerhaven","2012/13",325,34,292,783,-130,9.56,23.03,8.59,"More than 15 minutes/game","More than 5 points/game"
"ABDUL-HAMID M",0,"EWE Baskets Oldenburg","2012/13",50,10,44,133,22,5,13.3,4.4,"Less than 15 minutes/game","Less than 5 points/game"
"BAHIENSE DE MELLO D",1,"EWE Baskets Oldenburg","2012/13",64,34,28,354,11,1.88,10.41,0.82,"Less than 15 minutes/game","Less than 5 points/game"
"BURRELL R",1,"EWE Baskets Oldenburg","2012/13",340,33,326,718,162,10.3,21.76,9.88,"More than 15 minutes/game","More than 5 points/game"
"CHUBB A",1,"EWE Baskets Oldenburg","2012/13",355,33,476,808,179,10.76,24.48,14.42,"More than 15 minutes/game","More than 5 points/game"
"FREESE J",1,"EWE Baskets Oldenburg","2012/13",53,32,46,274,-3,1.66,8.56,1.44,"Less than 15 minutes/game","Less than 5 points/game"
"HARTMANN A",1,"EWE Baskets Oldenburg","2012/13",1,1,4,7,6,1,7,4,"Less than 15 minutes/game","Less than 5 points/game"
"JENKINS J",0,"EWE Baskets Oldenburg","2012/13",383,33,302,819,83,11.61,24.82,9.15,"More than 15 minutes/game","More than 5 points/game"
"JOYCE D",0,"EWE Baskets Oldenburg","2012/13",258,34,301,864,215,7.59,25.41,8.85,"More than 15 minutes/game","More than 5 points/game"
"KRAMER C",0,"EWE Baskets Oldenburg","2012/13",287,25,360,682,155,11.48,27.28,14.4,"More than 15 minutes/game","More than 5 points/game"
"PAULDING R",1,"EWE Baskets Oldenburg","2012/13",420,34,419,921,221,12.35,27.09,12.32,"More than 15 minutes/game","More than 5 points/game"
"SMEULDERS R",1,"EWE Baskets Oldenburg","2012/13",235,34,270,586,129,6.91,17.24,7.94,"More than 15 minutes/game","More than 5 points/game"
"SMIT K",1,"EWE Baskets Oldenburg","2012/13",23,21,16,84,5,1.1,4,0.76,"Less than 15 minutes/game","Less than 5 points/game"
"WYSOCKI K",0,"EWE Baskets Oldenburg","2012/13",201,31,236,543,85,6.48,17.52,7.61,"More than 15 minutes/game","More than 5 points/game"
"BENZING R",1,"FC Bayern München","2012/13",356,34,310,744,203,10.47,21.88,9.12,"More than 15 minutes/game","More than 5 points/game"
"GREENE D",1,"FC Bayern München","2012/13",118,33,98,484,94,3.58,14.67,2.97,"Less than 15 minutes/game","Less than 5 points/game"
"HALPERIN Y",0,"FC Bayern München","2012/13",177,33,258,696,147,5.36,21.09,7.82,"More than 15 minutes/game","More than 5 points/game"
"HAMANN S",1,"FC Bayern München","2012/13",172,34,221,597,48,5.06,17.56,6.5,"More than 15 minutes/game","More than 5 points/game"
"HOMAN J",1,"FC Bayern München","2012/13",293,32,309,727,113,9.16,22.72,9.66,"More than 15 minutes/game","More than 5 points/game"
"JAGLA J",1,"FC Bayern München","2012/13",233,30,275,494,132,7.77,16.47,9.17,"More than 15 minutes/game","More than 5 points/game"
"MARIN M",1,"FC Bayern München","2012/13",0,2,0,7,6,0,3.5,0,"Less than 15 minutes/game","Less than 5 points/game"
"NADJFEJI A",1,"FC Bayern München","2012/13",39,8,47,92,31,4.88,11.5,5.88,"Less than 15 minutes/game","Less than 5 points/game"
"RADOSAVLJEVIC B",1,"FC Bayern München","2012/13",24,9,17,55,4,2.67,6.11,1.89,"Less than 15 minutes/game","Less than 5 points/game"
"RICE T",0,"FC Bayern München","2012/13",489,32,445,775,208,15.28,24.22,13.91,"More than 15 minutes/game","More than 5 points/game"
"ROBERTS L",0,"FC Bayern München","2012/13",227,33,297,616,111,6.88,18.67,9,"More than 15 minutes/game","More than 5 points/game"
"THOMAS B",0,"FC Bayern München","2012/13",301,32,293,836,123,9.41,26.12,9.16,"More than 15 minutes/game","More than 5 points/game"
"TROUTMAN C",1,"FC Bayern München","2012/13",389,29,461,686,114,13.41,23.66,15.9,"More than 15 minutes/game","More than 5 points/game"
"VALéRIEN M",0,"FC Bayern München","2012/13",2,3,4,8,3,0.67,2.67,1.33,"Less than 15 minutes/game","Less than 5 points/game"
"BARTHEL D",1,"FRAPORT SKYLINERS","2012/13",130,30,156,511,-67,4.33,17.03,5.2,"More than 15 minutes/game","Less than 5 points/game"
"BROOKS R",0,"FRAPORT SKYLINERS","2012/13",501,34,424,1138,-93,14.74,33.47,12.47,"More than 15 minutes/game","More than 5 points/game"
"DOWELL D",0,"FRAPORT SKYLINERS","2012/13",165,19,167,490,-35,8.68,25.79,8.79,"More than 15 minutes/game","More than 5 points/game"
"GIBSON D",0,"FRAPORT SKYLINERS","2012/13",177,29,202,625,29,6.1,21.55,6.97,"More than 15 minutes/game","More than 5 points/game"
"JONES J",0,"FRAPORT SKYLINERS","2012/13",97,14,101,354,-28,6.93,25.29,7.21,"More than 15 minutes/game","More than 5 points/game"
"KLEIN K",0,"FRAPORT SKYLINERS","2012/13",95,32,56,423,-2,2.97,13.22,1.75,"Less than 15 minutes/game","Less than 5 points/game"
"MERZ M",0,"FRAPORT SKYLINERS","2012/13",6,3,7,21,2,2,7,2.33,"Less than 15 minutes/game","Less than 5 points/game"
"NOLTE M",1,"FRAPORT SKYLINERS","2012/13",74,28,83,303,27,2.64,10.82,2.96,"Less than 15 minutes/game","Less than 5 points/game"
"NOVAK J",1,"FRAPORT SKYLINERS","2012/13",2,4,1,16,19,0.5,4,0.25,"Less than 15 minutes/game","Less than 5 points/game"
"PEACOCK Z",0,"FRAPORT SKYLINERS","2012/13",507,33,475,820,1,15.36,24.85,14.39,"More than 15 minutes/game","More than 5 points/game"
"PROWELL L",0,"FRAPORT SKYLINERS","2012/13",351,33,384,853,-38,10.64,25.85,11.64,"More than 15 minutes/game","More than 5 points/game"
"ROBERTSON Q",1,"FRAPORT SKYLINERS","2012/13",366,34,473,1259,-15,10.76,37.03,13.91,"More than 15 minutes/game","More than 5 points/game"
"ROBINSON D",0,"FRAPORT SKYLINERS","2012/13",192,16,140,355,1,12,22.19,8.75,"More than 15 minutes/game","More than 5 points/game"
"SCOTT T",0,"FRAPORT SKYLINERS","2012/13",162,12,95,316,-30,13.5,26.33,7.92,"More than 15 minutes/game","More than 5 points/game"
"VOIGTMANN J",0,"FRAPORT SKYLINERS","2012/13",78,26,104,251,-6,3,9.65,4,"Less than 15 minutes/game","Less than 5 points/game"
"WRIGHT L",0,"FRAPORT SKYLINERS","2012/13",56,9,33,169,-25,6.22,18.78,3.67,"More than 15 minutes/game","More than 5 points/game"
"AMAIZE R",0,"GIESSEN 46ers","2012/13",22,11,-7,103,-102,2,9.36,-0.64,"Less than 15 minutes/game","Less than 5 points/game"
"BAXTER J",0,"GIESSEN 46ers","2012/13",131,9,95,293,-105,14.56,32.56,10.56,"More than 15 minutes/game","More than 5 points/game"
"BONDS J",0,"GIESSEN 46ers","2012/13",26,5,19,114,-25,5.2,22.8,3.8,"More than 15 minutes/game","More than 5 points/game"
"BüCHERT A",0,"GIESSEN 46ers","2012/13",166,28,158,420,-262,5.93,15,5.64,"Less than 15 minutes/game","More than 5 points/game"
"CURRY S",0,"GIESSEN 46ers","2012/13",259,31,215,744,-360,8.35,24,6.94,"More than 15 minutes/game","More than 5 points/game"
"DIDOVIC A",0,"GIESSEN 46ers","2012/13",10,9,9,52,-52,1.11,5.78,1,"Less than 15 minutes/game","Less than 5 points/game"
"FAßLER O",0,"GIESSEN 46ers","2012/13",168,34,126,826,-453,4.94,24.29,3.71,"More than 15 minutes/game","Less than 5 points/game"
"FIELDS J",0,"GIESSEN 46ers","2012/13",22,7,42,75,-30,3.14,10.71,6,"Less than 15 minutes/game","Less than 5 points/game"
"HANKE R",0,"GIESSEN 46ers","2012/13",61,14,64,186,-205,4.36,13.29,4.57,"Less than 15 minutes/game","Less than 5 points/game"
"HARRIS D",0,"GIESSEN 46ers","2012/13",129,19,129,444,-122,6.79,23.37,6.79,"More than 15 minutes/game","More than 5 points/game"
"ORTNER B",0,"GIESSEN 46ers","2012/13",44,4,55,113,-37,11,28.25,13.75,"More than 15 minutes/game","More than 5 points/game"
"OVCINA E",1,"GIESSEN 46ers","2012/13",363,30,415,971,-510,12.1,32.37,13.83,"More than 15 minutes/game","More than 5 points/game"
"PERKOVIC J",0,"GIESSEN 46ers","2012/13",87,10,93,217,-49,8.7,21.7,9.3,"More than 15 minutes/game","More than 5 points/game"
"PFLüGER R",0,"GIESSEN 46ers","2012/13",6,6,4,32,-32,1,5.33,0.67,"Less than 15 minutes/game","Less than 5 points/game"
"SPOHR D",0,"GIESSEN 46ers","2012/13",165,30,131,542,-378,5.5,18.07,4.37,"More than 15 minutes/game","More than 5 points/game"
"TURUDIC D",1,"GIESSEN 46ers","2012/13",7,9,7,39,-28,0.78,4.33,0.78,"Less than 15 minutes/game","Less than 5 points/game"
"WEISER J",1,"GIESSEN 46ers","2012/13",26,22,22,257,-227,1.18,11.68,1,"Less than 15 minutes/game","Less than 5 points/game"
"ZAZAI A",1,"GIESSEN 46ers","2012/13",229,28,235,647,-310,8.18,23.11,8.39,"More than 15 minutes/game","More than 5 points/game"
"BAILEY B",0,"medi bayreuth","2012/13",402,33,370,815,0,12.18,24.7,11.21,"More than 15 minutes/game","More than 5 points/game"
"CAIN J",0,"medi bayreuth","2012/13",314,32,305,691,-86,9.81,21.59,9.53,"More than 15 minutes/game","More than 5 points/game"
"HAMILTON K",1,"medi bayreuth","2012/13",219,23,250,657,-90,9.52,28.57,10.87,"More than 15 minutes/game","More than 5 points/game"
"MCGHEE G",0,"medi bayreuth","2012/13",321,34,388,879,-55,9.44,25.85,11.41,"More than 15 minutes/game","More than 5 points/game"
"ROHNERT N",0,"medi bayreuth","2012/13",18,6,19,92,-32,3,15.33,3.17,"More than 15 minutes/game","Less than 5 points/game"
"SCHMIDT S",1,"medi bayreuth","2012/13",69,32,80,320,-60,2.16,10,2.5,"Less than 15 minutes/game","Less than 5 points/game"
"SCHMITZ S",1,"medi bayreuth","2012/13",187,34,126,543,-48,5.5,15.97,3.71,"More than 15 minutes/game","More than 5 points/game"
"SIKSNIUS A",0,"medi bayreuth","2012/13",31,7,7,103,-16,4.43,14.71,1,"Less than 15 minutes/game","Less than 5 points/game"
"SIMON N",0,"medi bayreuth","2012/13",306,33,247,846,7,9.27,25.64,7.48,"More than 15 minutes/game","More than 5 points/game"
"SPöLER T",1,"medi bayreuth","2012/13",65,24,65,208,-15,2.71,8.67,2.71,"Less than 15 minutes/game","Less than 5 points/game"
"TRAPANI J",0,"medi bayreuth","2012/13",340,32,342,723,-36,10.62,22.59,10.69,"More than 15 minutes/game","More than 5 points/game"
"WYRICK B",1,"medi bayreuth","2012/13",193,26,166,676,-70,7.42,26,6.38,"More than 15 minutes/game","More than 5 points/game"
"ZEIS P",1,"medi bayreuth","2012/13",65,28,82,242,-58,2.32,8.64,2.93,"Less than 15 minutes/game","Less than 5 points/game"
"BEKTESHI B",0,"MHP RIESEN Ludwigsburg","2012/13",18,14,12,79,6,1.29,5.64,0.86,"Less than 15 minutes/game","Less than 5 points/game"
"BERNARD W",0,"MHP RIESEN Ludwigsburg","2012/13",254,34,268,896,-42,7.47,26.35,7.88,"More than 15 minutes/game","More than 5 points/game"
"BLAKELY M",0,"MHP RIESEN Ludwigsburg","2012/13",126,11,142,264,11,11.45,24,12.91,"More than 15 minutes/game","More than 5 points/game"
"COLEMAN E",0,"MHP RIESEN Ludwigsburg","2012/13",154,14,196,311,-36,11,22.21,14,"More than 15 minutes/game","More than 5 points/game"
"ELLIOTT I",0,"MHP RIESEN Ludwigsburg","2012/13",192,25,230,664,-46,7.68,26.56,9.2,"More than 15 minutes/game","More than 5 points/game"
"HADZOVIC N",0,"MHP RIESEN Ludwigsburg","2012/13",3,3,2,6,-3,1,2,0.67,"Less than 15 minutes/game","Less than 5 points/game"
"ILZHöFER S",1,"MHP RIESEN Ludwigsburg","2012/13",0,1,-1,3,-6,0,3,-1,"Less than 15 minutes/game","Less than 5 points/game"
"JACKSON J",0,"MHP RIESEN Ludwigsburg","2012/13",320,34,246,867,-72,9.41,25.5,7.24,"More than 15 minutes/game","More than 5 points/game"
"JOOS J",1,"MHP RIESEN Ludwigsburg","2012/13",0,3,-2,8,6,0,2.67,-0.67,"Less than 15 minutes/game","Less than 5 points/game"
"KOCH T",0,"MHP RIESEN Ludwigsburg","2012/13",38,19,38,179,-48,2,9.42,2,"Less than 15 minutes/game","Less than 5 points/game"
"STAIGER L",0,"MHP RIESEN Ludwigsburg","2012/13",389,32,354,990,-44,12.16,30.94,11.06,"More than 15 minutes/game","More than 5 points/game"
"TAYLOR K",0,"MHP RIESEN Ludwigsburg","2012/13",251,19,181,552,-143,13.21,29.05,9.53,"More than 15 minutes/game","More than 5 points/game"
"TUREK J",0,"MHP RIESEN Ludwigsburg","2012/13",472,34,492,885,87,13.88,26.03,14.47,"More than 15 minutes/game","More than 5 points/game"
"WEAVER D",0,"MHP RIESEN Ludwigsburg","2012/13",99,18,120,309,-146,5.5,17.17,6.67,"More than 15 minutes/game","More than 5 points/game"
"WEBER M",0,"MHP RIESEN Ludwigsburg","2012/13",108,32,93,494,-116,3.38,15.44,2.91,"More than 15 minutes/game","Less than 5 points/game"
"WESTBROOK L",0,"MHP RIESEN Ludwigsburg","2012/13",33,4,27,86,-2,8.25,21.5,6.75,"More than 15 minutes/game","More than 5 points/game"
"ZIMMERMAN D",0,"MHP RIESEN Ludwigsburg","2012/13",87,10,126,266,-4,8.7,26.6,12.6,"More than 15 minutes/game","More than 5 points/game"
"ZINN R",0,"MHP RIESEN Ludwigsburg","2012/13",2,2,4,7,8,1,3.5,2,"Less than 15 minutes/game","Less than 5 points/game"
"BELL D",0,"Phoenix Hagen","2012/13",530,34,394,983,-52,15.59,28.91,11.59,"More than 15 minutes/game","More than 5 points/game"
"BLECK F",0,"Phoenix Hagen","2012/13",6,8,3,36,-37,0.75,4.5,0.38,"Less than 15 minutes/game","Less than 5 points/game"
"DORRIS M",0,"Phoenix Hagen","2012/13",301,28,238,605,35,10.75,21.61,8.5,"More than 15 minutes/game","More than 5 points/game"
"GORDON L",0,"Phoenix Hagen","2012/13",439,34,502,995,-62,12.91,29.26,14.76,"More than 15 minutes/game","More than 5 points/game"
"GREGORY D",0,"Phoenix Hagen","2012/13",252,34,414,875,-24,7.41,25.74,12.18,"More than 15 minutes/game","More than 5 points/game"
"HESS A",0,"Phoenix Hagen","2012/13",378,34,406,798,-37,11.12,23.47,11.94,"More than 15 minutes/game","More than 5 points/game"
"KRAMER M",1,"Phoenix Hagen","2012/13",5,5,-1,16,-26,1,3.2,-0.2,"Less than 15 minutes/game","Less than 5 points/game"
"KRUEL B",1,"Phoenix Hagen","2012/13",112,30,159,366,-64,3.73,12.2,5.3,"Less than 15 minutes/game","Less than 5 points/game"
"LODWICK A",0,"Phoenix Hagen","2012/13",228,33,219,594,-51,6.91,18,6.64,"More than 15 minutes/game","More than 5 points/game"
"SCHOO B",0,"Phoenix Hagen","2012/13",19,15,30,70,-44,1.27,4.67,2,"Less than 15 minutes/game","Less than 5 points/game"
"WENDT O",0,"Phoenix Hagen","2012/13",100,34,109,447,-62,2.94,13.15,3.21,"Less than 15 minutes/game","Less than 5 points/game"
"WHITE D",1,"Phoenix Hagen","2012/13",585,34,474,1061,-37,17.21,31.21,13.94,"More than 15 minutes/game","More than 5 points/game"
"BETZ S",1,"ratiopharm ulm","2012/13",101,24,133,335,81,4.21,13.96,5.54,"Less than 15 minutes/game","Less than 5 points/game"
"BRYANT J",1,"ratiopharm ulm","2012/13",546,34,699,914,168,16.06,26.88,20.56,"More than 15 minutes/game","More than 5 points/game"
"ESTERKAMP S",1,"ratiopharm ulm","2012/13",308,34,301,877,107,9.06,25.79,8.85,"More than 15 minutes/game","More than 5 points/game"
"GAUSA K",0,"ratiopharm ulm","2012/13",8,7,12,42,32,1.14,6,1.71,"Less than 15 minutes/game","Less than 5 points/game"
"GüNTHER P",1,"ratiopharm ulm","2012/13",386,34,340,812,118,11.35,23.88,10,"More than 15 minutes/game","More than 5 points/game"
"HEBERLEIN M",1,"ratiopharm ulm","2012/13",0,8,0,15,6,0,1.88,0,"Less than 15 minutes/game","Less than 5 points/game"
"HESSON M",0,"ratiopharm ulm","2012/13",47,8,61,104,50,5.88,13,7.62,"Less than 15 minutes/game","More than 5 points/game"
"JETER L",0,"ratiopharm ulm","2012/13",253,34,252,604,109,7.44,17.76,7.41,"More than 15 minutes/game","More than 5 points/game"
"JöNKE T",0,"ratiopharm ulm","2012/13",23,10,23,60,27,2.3,6,2.3,"Less than 15 minutes/game","Less than 5 points/game"
