"club_season_id","club_lag","table_position_lag","table_position","club","season","stayed_ratio","players_stayed","stayed_ratio_morethan5ppg","players_stayed_morethan5ppg","stayed_ratio_morethan15mpg","players_stayed_morethan15mpg"
"2013/14_ALBA BERLIN","ALBA BERLIN",5,3,"ALBA BERLIN","2013/14",13.33,"Fülle, Schultze",0,"Niemand",0,"Niemand"
"2013/14_Artland Dragons","Artland Dragons",6,7,"Artland Dragons","2013/14",30.77,"Grünheid, Hoffmann, King Antho, Njei",14.29,"King Antho",12.5,"King Antho"
"2013/14_Basketball Löwen Braunschweig","Basketball Löwen Braunschweig",13,15,"Basketball Löwen Braunschweig","2013/14",29.41,"Gertz, Kulawick, Land, Mcelroy, Nana",28.57,"Mcelroy, Nana",28.57,"Mcelroy, Nana"
"2013/14_Brose Bamberg","Brose Bamberg",1,2,"Brose Bamberg","2013/14",50,"Ford, Gavel, Goldsberry, Jacobsen, Rockmann, Schmidt, Tadda, Zirbes",40,"Ford, Gavel, Jacobsen, Zirbes",41.67,"Ford, Gavel, Goldsberry, Jacobsen, Zirbes"
"2013/14_Eisbären Bremerhaven","Eisbären Bremerhaven",11,12,"Eisbären Bremerhaven","2013/14",31.25,"El Domiaty, Jackson, Kone, Malu, Zwiener",25,"Jackson, Zwiener",22.22,"Jackson, Zwiener"
"2013/14_EWE Baskets Oldenburg","EWE Baskets Oldenburg",2,4,"EWE Baskets Oldenburg","2013/14",66.67,"Bahiense De Mello, Chubb, Freese, Jenkins, Joyce, Kramer, Paulding, Smeulders, Smit, Wysocki",66.67,"Chubb, Jenkins, Joyce, Kramer, Paulding, Smeulders",75,"Chubb, Jenkins, Joyce, Kramer, Paulding, Smeulders"
"2013/14_FC Bayern München","FC Bayern München",4,1,"FC Bayern München","2013/14",30.77,"Benzing, Hamann, Troutman, Zipser",18.18,"Benzing, Troutman",18.18,"Benzing, Troutman"
"2013/14_FRAPORT SKYLINERS","FRAPORT SKYLINERS",14,11,"FRAPORT SKYLINERS","2013/14",50,"Barthel, Klein, Merz, Nolte, Novak, Oldenburg, Robertson, Robinson, Voigtmann",45.45,"Barthel, Klein, Robertson, Robinson, Voigtmann",45.45,"Barthel, Klein, Robertson, Robinson, Voigtmann"
"2013/14_medi bayreuth","medi bayreuth",15,14,"medi bayreuth","2013/14",57.14,"Bailey, Chambers, Hamilton, Schmitz, Simon, Spöler, Wyrick, Zeis",33.33,"Bailey, Hamilton, Simon",44.44,"Bailey, Hamilton, Simon, Wyrick"
"2013/14_MHP RIESEN Ludwigsburg","MHP RIESEN Ludwigsburg",17,8,"MHP RIESEN Ludwigsburg","2013/14",13.33,"Joos, Koch",0,"Niemand",0,"Niemand"
"2013/14_Mitteldeutscher BC",NA,NA,9,"Mitteldeutscher BC","2013/14",25,"Leutloff, Pantelic, Schwarz",25,"Pantelic, Schwarz",25,"Pantelic, Schwarz"
"2013/14_Phoenix Hagen","Phoenix Hagen",8,10,"Phoenix Hagen","2013/14",50,"Bell, Bleck, Dorris, Gordon, Gregory, Kruel, Wendt",66.67,"Bell, Dorris, Gordon, Gregory",66.67,"Bell, Dorris, Gordon, Gregory"
"2013/14_ratiopharm ulm","ratiopharm ulm",3,6,"ratiopharm ulm","2013/14",40,"Gausa, Günther, Jönke, Nankivil, Schwethelm, Theis",40,"Günther, Nankivil, Schwethelm, Theis",40,"Günther, Nankivil, Schwethelm, Theis"
"2013/14_s.Oliver Baskets","s.Oliver Baskets",9,17,"s.Oliver Baskets","2013/14",43.75,"Boone, Jacobson, Little, Mckinney, Mcnaughton, Stuckey, Ugrai",41.67,"Boone, Little, Mckinney, Mcnaughton, Stuckey",46.15,"Boone, Jacobson, Little, Mckinney, Mcnaughton, Stuckey"
"2013/14_TBB Trier","TBB Trier",12,13,"TBB Trier","2013/14",38.46,"Bucknor, Buntic, Chikoko, Mönninghoff, Seiferth",42.86,"Bucknor, Chikoko, Seiferth",50,"Bucknor, Chikoko, Mönninghoff, Seiferth"
"2013/14_Telekom Baskets Bonn","Telekom Baskets Bonn",7,5,"Telekom Baskets Bonn","2013/14",42.86,"Jordan, Koch, Mangold, Mccray, Mclean, Veikalas",42.86,"Jordan, Mclean, Veikalas",44.44,"Jordan, Mangold, Mclean, Veikalas"
"2013/14_WALTER Tigers Tübingen","WALTER Tigers Tübingen",10,16,"WALTER Tigers Tübingen","2013/14",35.71,"Albus, Lischka, Nash, Oehle, Young",22.22,"Nash, Young",20,"Nash, Young"
"2014/15_ALBA BERLIN","ALBA BERLIN",3,2,"ALBA BERLIN","2014/15",53.85,"Akpinar, Hammonds, King, Radosevic, Redding, Vargas, Wohlfarth-Bottermann",55.56,"Hammonds, King, Radosevic, Redding, Vargas",55.56,"Hammonds, King, Radosevic, Redding, Vargas"
"2014/15_Artland Dragons","Artland Dragons",7,11,"Artland Dragons","2014/15",57.14,"Doreth, Frease, Graves, Grünheid, Hill, Holston, King Antho, Thomas",60,"Frease, Graves, Hill, Holston, King Antho, Thomas",70,"Doreth, Frease, Graves, Hill, Holston, King Antho, Thomas"
"2014/15_Basketball Löwen Braunschweig","Basketball Löwen Braunschweig",15,9,"Basketball Löwen Braunschweig","2014/15",46.15,"Bogdanov, Gertz, Johnson, Mcelroy, Pluskota, Visser",28.57,"Mcelroy, Visser",28.57,"Mcelroy, Visser"
"2014/15_Brose Bamberg","Brose Bamberg",2,1,"Brose Bamberg","2014/15",26.67,"Harris, Schmidt, Tadda, Thiemann",10,"Harris",20,"Harris, Tadda"
"2014/15_Eisbären Bremerhaven","Eisbären Bremerhaven",12,15,"Eisbären Bremerhaven","2014/15",26.67,"Baues, El Domiaty, Schneiders, Searcy",14.29,"Searcy",12.5,"Searcy"
"2014/15_EWE Baskets Oldenburg","EWE Baskets Oldenburg",4,7,"EWE Baskets Oldenburg","2014/15",61.54,"Aleksandrov, Chubb, Jenkins, Kramer, Lockhart, Neumann, Paulding, Smeulders",75,"Aleksandrov, Chubb, Jenkins, Kramer, Neumann, Paulding",71.43,"Aleksandrov, Chubb, Jenkins, Kramer, Paulding"
"2014/15_FC Bayern München","FC Bayern München",1,3,"FC Bayern München","2014/15",53.33,"Benzing, Bryant, Djedovic, Idbihi, Schaffartzik, Staiger, Taylor, Zipser",45.45,"Benzing, Bryant, Djedovic, Schaffartzik, Taylor",50,"Benzing, Bryant, Djedovic, Schaffartzik, Taylor"
"2014/15_FRAPORT SKYLINERS","FRAPORT SKYLINERS",11,6,"FRAPORT SKYLINERS","2014/15",55.56,"Barthel, Bright, Burtschi, Ilzhöfer, Klein, Merz, Oldenburg, Richter, Robertson, Voigtmann",50,"Barthel, Burtschi, Klein, Robertson, Voigtmann",55.56,"Barthel, Burtschi, Klein, Robertson, Voigtmann"
"2014/15_medi bayreuth","medi bayreuth",14,16,"medi bayreuth","2014/15",41.67,"Bailey, Burrell, Heyden, Schmitz, Zeis",37.5,"Bailey, Burrell, Heyden",37.5,"Bailey, Burrell, Heyden"
"2014/15_MHP RIESEN Ludwigsburg","MHP RIESEN Ludwigsburg",8,8,"MHP RIESEN Ludwigsburg","2014/15",45.45,"Flomo, Huff, Koch, Stockton, Waleskowski",42.86,"Huff, Stockton, Waleskowski",42.86,"Huff, Stockton, Waleskowski"
"2014/15_Mitteldeutscher BC","Mitteldeutscher BC",9,12,"Mitteldeutscher BC","2014/15",25,"Clay, Pantelic, Schwarz",28.57,"Pantelic, Schwarz",28.57,"Pantelic, Schwarz"
"2014/15_Phoenix Hagen","Phoenix Hagen",10,13,"Phoenix Hagen","2014/15",53.85,"Bell, Bleck, Geske, Gordon, Gregory, Krume, Ramsey",57.14,"Bell, Gordon, Gregory, Ramsey",71.43,"Bell, Geske, Gordon, Gregory, Ramsey"
"2014/15_ratiopharm ulm","ratiopharm ulm",6,5,"ratiopharm ulm","2014/15",38.46,"Clyburn, Günther, Hess, Maier, Schwethelm",37.5,"Clyburn, Günther, Schwethelm",37.5,"Clyburn, Günther, Schwethelm"
"2014/15_TBB Trier","TBB Trier",13,17,"TBB Trier","2014/15",57.14,"Anderson, Bucknor, Canty, Dahlem, Mönninghoff, Samenas, Schmidt, Wenzl",57.14,"Anderson, Bucknor, Mönninghoff, Samenas",62.5,"Anderson, Bucknor, Mönninghoff, Samenas, Schmidt"
"2014/15_Telekom Baskets Bonn","Telekom Baskets Bonn",5,4,"Telekom Baskets Bonn","2014/15",57.14,"Blass, Brooks, Koch, Lawrence, Mangold, Michel, Veikalas, Wachalski",44.44,"Brooks, Lawrence, Veikalas, Wachalski",62.5,"Brooks, Lawrence, Mangold, Veikalas, Wachalski"
"2014/15_WALTER Tigers Tübingen","WALTER Tigers Tübingen",16,14,"WALTER Tigers Tübingen","2014/15",46.15,"Albus, Kashirov, Nadjfeji, Radosavljevic, Ratkovica, Wallace",50,"Kashirov, Nadjfeji, Radosavljevic, Ratkovica, Wallace",44.44,"Nadjfeji, Radosavljevic, Ratkovica, Wallace"
"2015/16_ALBA BERLIN","ALBA BERLIN",2,6,"ALBA BERLIN","2015/16",35.71,"Akpinar, Giffey, King, Vargas, Wohlfarth-Bottermann",12.5,"Giffey",22.22,"Giffey, King"
"2015/16_Basketball Löwen Braunschweig","Basketball Löwen Braunschweig",9,10,"Basketball Löwen Braunschweig","2015/16",38.46,"Adler, Bogdanov, Gertz, Simon, Theis",12.5,"Simon",12.5,"Simon"
"2015/16_BG Göttingen",NA,NA,16,"BG Göttingen","2015/16",53.85,"Boakye, El-Amin, Godbold, Kamp, Kulawick, Onwuegbuzie, Spohr",62.5,"El-Amin, Godbold, Kamp, Kulawick, Spohr",62.5,"El-Amin, Godbold, Kamp, Kulawick, Spohr"
"2015/16_Brose Bamberg","Brose Bamberg",1,1,"Brose Bamberg","2015/16",46.67,"Harris, Miller, Obst, Schmidt, Strelnieks, Theis, Wanamaker",45.45,"Harris, Miller, Strelnieks, Theis, Wanamaker",40,"Miller, Strelnieks, Theis, Wanamaker"
"2015/16_Crailsheim Merlins",NA,NA,18,"Crailsheim Merlins","2015/16",6.67,"Carpenter",0,"Niemand",0,"Niemand"
"2015/16_Eisbären Bremerhaven","Eisbären Bremerhaven",15,15,"Eisbären Bremerhaven","2015/16",18.18,"Smith, Williams",28.57,"Smith, Williams",25,"Smith, Williams"
"2015/16_EWE Baskets Oldenburg","EWE Baskets Oldenburg",7,2,"EWE Baskets Oldenburg","2015/16",46.15,"Aleksandrov, Kramer, Lockhart, Paulding, Smeulders, Wimberg",44.44,"Aleksandrov, Kramer, Paulding, Smeulders",50,"Aleksandrov, Kramer, Paulding, Smeulders"
"2015/16_FC Bayern München","FC Bayern München",3,4,"FC Bayern München","2015/16",41.18,"Bryant, Djedovic, Gavel, Mayr, Savanovic, Taylor, Zipser",54.55,"Bryant, Djedovic, Gavel, Savanovic, Taylor, Zipser",54.55,"Bryant, Djedovic, Gavel, Savanovic, Taylor, Zipser"
"2015/16_FRAPORT SKYLINERS","FRAPORT SKYLINERS",6,3,"FRAPORT SKYLINERS","2015/16",70.59,"Barthel, Doornekamp, Ilzhöfer, Kiel, Klein, Merz, Morrison, Okeke, Oldenburg, Richter, Robertson, Voigtmann",66.67,"Barthel, Doornekamp, Klein, Morrison, Robertson, Voigtmann",66.67,"Barthel, Doornekamp, Klein, Morrison, Robertson, Voigtmann"
"2015/16_medi bayreuth","medi bayreuth",16,12,"medi bayreuth","2015/16",15.38,"Adler, Heyden",0,"Niemand",0,"Niemand"
"2015/16_MHP RIESEN Ludwigsburg","MHP RIESEN Ludwigsburg",8,5,"MHP RIESEN Ludwigsburg","2015/16",38.46,"Brockman, Huff, Johnson, Mcnaughton, Waleskowski",40,"Brockman, Huff, Johnson, Waleskowski",50,"Brockman, Huff, Johnson, Waleskowski"
"2015/16_Mitteldeutscher BC","Mitteldeutscher BC",12,17,"Mitteldeutscher BC","2015/16",16.67,"Massenat, Zinn",12.5,"Massenat",14.29,"Massenat"
"2015/16_Phoenix Hagen","Phoenix Hagen",13,13,"Phoenix Hagen","2015/16",38.46,"Bell, Geske, Grof, Keßen, Krume",25,"Bell, Geske",25,"Bell, Geske"
"2015/16_ratiopharm ulm","ratiopharm ulm",5,7,"ratiopharm ulm","2015/16",14.29,"Ferner, Günther",12.5,"Günther",12.5,"Günther"
"2015/16_Telekom Baskets Bonn","Telekom Baskets Bonn",4,11,"Telekom Baskets Bonn","2015/16",50,"Blass, Klimavicius, Koch, Lawrence, Lodders, Mädrich, Mangold",44.44,"Klimavicius, Koch, Lawrence, Mädrich",41.67,"Klimavicius, Koch, Lawrence, Mädrich, Mangold"
"2015/16_WALTER Tigers Tübingen","WALTER Tigers Tübingen",14,14,"WALTER Tigers Tübingen","2015/16",46.15,"Agva, Albus, Hiller, Mihailovic, Nadjfeji, Radosavljevic",37.5,"Agva, Mihailovic, Radosavljevic",33.33,"Agva, Mihailovic, Radosavljevic"
"2016/17_ALBA BERLIN","ALBA BERLIN",6,6,"ALBA BERLIN","2016/17",37.5,"Akpinar, Giffey, Hundt, Kikanovic, Milosavljevic, Vargas",30,"Giffey, Kikanovic, Milosavljevic",33.33,"Giffey, Kikanovic, Milosavljevic"
"2016/17_Basketball Löwen Braunschweig","Basketball Löwen Braunschweig",10,16,"Basketball Löwen Braunschweig","2016/17",23.08,"Lagerpusch, Simon, Theis",14.29,"Theis",22.22,"Simon, Theis"
"2016/17_BG Göttingen","BG Göttingen",16,11,"BG Göttingen","2016/17",30.77,"Menzel, Mönninghoff, Schwarz, Spohr",12.5,"Mönninghoff",12.5,"Mönninghoff"
"2016/17_Brose Bamberg","Brose Bamberg",1,2,"Brose Bamberg","2016/17",58.82,"Harris, Heckmann, Melli, Miller, Nikolic, Radosevic, Staiger, Strelnieks, Theis, Zisis",64.29,"Harris, Heckmann, Melli, Miller, Nikolic, Radosevic, Strelnieks, Theis, Zisis",66.67,"Heckmann, Melli, Miller, Nikolic, Radosevic, Strelnieks, Theis, Zisis"
"2016/17_Eisbären Bremerhaven","Eisbären Bremerhaven",15,12,"Eisbären Bremerhaven","2016/17",12.5,"Austin, Bleck",22.22,"Austin, Bleck",22.22,"Austin, Bleck"
"2016/17_EWE Baskets Oldenburg","EWE Baskets Oldenburg",2,5,"EWE Baskets Oldenburg","2016/17",64.29,"Bacak, Duggins, Kramer, Kramer, Lockhart, Paulding, Qvale, Schwethelm, Wimberg",71.43,"Duggins, Kramer, Paulding, Qvale, Schwethelm",71.43,"Duggins, Kramer, Paulding, Qvale, Schwethelm"
"2016/17_FC Bayern München","FC Bayern München",4,3,"FC Bayern München","2016/17",33.33,"Djedovic, Gavel, Jallow, Kleber, Taylor",40,"Djedovic, Gavel, Kleber, Taylor",36.36,"Djedovic, Gavel, Kleber, Taylor"
"2016/17_FRAPORT SKYLINERS","FRAPORT SKYLINERS",3,10,"FRAPORT SKYLINERS","2016/17",54.55,"Ilzhöfer, Kiel, Merz, Morrison, Robertson, Zeeb",50,"Kiel, Morrison, Robertson",40,"Morrison, Robertson"
"2016/17_GIESSEN 46ers",NA,NA,9,"GIESSEN 46ers","2016/17",15.38,"Lischka, Wells",14.29,"Wells",14.29,"Wells"
"2016/17_medi bayreuth","medi bayreuth",12,4,"medi bayreuth","2016/17",33.33,"Adler, Doreth, Seiferth, Wachalski",25,"Seiferth, Wachalski",37.5,"Doreth, Seiferth, Wachalski"
"2016/17_MHP RIESEN Ludwigsburg","MHP RIESEN Ludwigsburg",5,6,"MHP RIESEN Ludwigsburg","2016/17",28.57,"Cotton, Loesing, Mccray, Trice",22.22,"Cotton, Trice",30,"Cotton, Loesing, Trice"
"2016/17_ratiopharm ulm","ratiopharm ulm",7,1,"ratiopharm ulm","2016/17",52.94,"Babb, Braun, Butler, Ferner, Günther, Krämer, Morgan, Rohwer, Rubit",66.67,"Babb, Braun, Butler, Günther, Morgan, Rubit",60,"Babb, Braun, Butler, Günther, Morgan, Rubit"
"2016/17_s.Oliver Baskets",NA,NA,14,"s.Oliver Baskets","2016/17",31.25,"Betz, Lane, Stuckey, Ugrai, Ulmer",42.86,"Lane, Stuckey, Ulmer",40,"Lane, Stuckey, Ugrai, Ulmer"
"2016/17_Telekom Baskets Bonn","Telekom Baskets Bonn",11,7,"Telekom Baskets Bonn","2016/17",14.29,"Blass, Koch",0,"Niemand",0,"Niemand"
"2016/17_WALTER Tigers Tübingen","WALTER Tigers Tübingen",14,15,"WALTER Tigers Tübingen","2016/17",25,"Deschner, Hiller, Jordan",12.5,"Jordan",12.5,"Jordan"
