pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
66,"LONCAR K. (C)
s.Oliver Würzburg",29,536:21:00,285,75,123,61.00%,29,68,42.70%,104,191,54.50%,48,61,78.70%,56,39,95,42,9,52,10,83,289,-7,0
89,"THIEMANN J. (SF)
MHP RIESEN Ludwigsburg",32,533:22:00,285,99,187,52.90%,2,7,28.60%,101,194,52.10%,81,109,74.30%,91,72,163,9,23,40,9,94,328,29,2
82,"BARTHEL D. (PF)
FC Bayern München",31,529:27:00,282,79,122,64.80%,14,31,45.20%,93,153,60.80%,82,107,76.60%,92,30,122,47,14,21,19,75,378,230,0
42,"GUYTON C. (PG)
Basketball Löwen Braunschweig",25,672:00:00,280,66,130,50.80%,38,95,40.00%,104,225,46.20%,34,48,70.80%,63,15,78,57,18,50,0,72,248,-177,1
76,"KLEBER M. (PF)
FC Bayern München",30,653:40:00,280,62,96,64.60%,36,91,39.60%,98,187,52.40%,48,64,75.00%,117,37,154,57,32,28,34,66,424,307,0
85,"MASSENAT F. (PG)
EWE Baskets Oldenburg",31,834:06:00,280,40,100,40.00%,55,130,42.30%,95,230,41.30%,35,48,72.90%,53,11,64,103,26,35,3,97,293,-16,1
61,"MILLER D. (SF)
Brose Bamberg",28,619:03:00,279,54,90,60.00%,46,123,37.40%,100,213,47.00%,33,36,91.70%,66,12,78,63,24,29,4,66,303,256,0
44,"CAUSEUR F. (PG)
Brose Bamberg",25,614:49:00,278,58,104,55.80%,36,75,48.00%,94,179,52.50%,54,71,76.10%,71,12,83,79,20,44,1,40,315,222,0
93,"STANDHARDINGER C. (PF)
RASTA Vechta",32,669:58:00,275,109,222,49.10%,5,17,29.40%,114,239,47.70%,42,72,58.30%,106,57,163,38,21,50,3,79,295,-132,3
97,"WASHBURN J. (SF)
WALTER Tigers Tübingen",33,916:12:00,273,52,99,52.50%,49,123,39.80%,101,222,45.50%,22,24,91.70%,87,21,108,37,40,30,18,80,323,-142,0
100,"ALLEN D. (PF)
RASTA Vechta",33,756:53:00,269,106,210,50.50%,0,1,0.00%,106,211,50.20%,57,85,67.10%,66,51,117,43,15,35,6,66,282,-277,0
74,"DE ZEEUW M. (PF)
EWE Baskets Oldenburg",28,549:10:00,263,50,91,54.90%,39,89,43.80%,89,180,49.40%,46,55,83.60%,89,25,114,41,9,33,2,55,296,34,0
104,"GIFFEY N. (SF)
ALBA BERLIN",33,674:06:00,262,75,120,62.50%,25,67,37.30%,100,187,53.50%,37,50,74.00%,96,30,126,44,27,37,11,92,333,49,0
99,"MORRISON M. (C)
FRAPORT SKYLINERS",32,753:28:00,261,98,177,55.40%,0,0,0.00%,98,177,55.40%,65,127,51.20%,92,42,134,31,23,57,19,116,270,-25,0
22,"KIDD S. (SF)
WALTER Tigers Tübingen",20,537:24:00,257,60,129,46.50%,35,86,40.70%,95,215,44.20%,32,43,74.40%,67,32,99,35,25,27,9,63,267,-45,0
101,"SCHWETHELM P. (SF)
EWE Baskets Oldenburg",32,685:27:00,257,29,52,55.80%,60,131,45.80%,89,183,48.60%,19,22,86.40%,59,28,87,28,27,15,4,78,291,69,0
108,"STUCKEY M. (SG)
s.Oliver Würzburg",33,827:27:00,257,31,60,51.70%,61,170,35.90%,92,230,40.00%,12,13,92.30%,76,7,83,54,25,52,5,98,233,-64,0
109,"AUSTIN W. (C)
Eisbären Bremerhaven",33,517:48:00,257,96,198,48.50%,0,1,0.00%,96,199,48.20%,65,109,59.60%,78,51,129,16,10,52,28,94,241,-134,1
110,"SAIBOU J. (PG)
GIESSEN 46ers",33,583:05:00,256,51,121,42.10%,32,72,44.40%,83,193,43.00%,58,69,84.10%,55,16,71,55,27,38,4,66,254,15,0
105,"MELLI N. (PF)
Brose Bamberg",31,679:18:00,246,57,116,49.10%,25,74,33.80%,82,190,43.20%,57,66,86.40%,110,36,146,60,22,37,22,62,342,269,0
112,"ATSüR E. (PG)
ALBA BERLIN",32,573:50:00,245,29,64,45.30%,39,109,35.80%,68,173,39.30%,70,80,87.50%,41,7,48,87,23,44,1,56,245,-19,0
116,"BARTOLO Y. (SF)
Telekom Baskets Bonn",32,707:36:00,234,76,123,61.80%,8,48,16.70%,84,171,49.10%,58,93,62.40%,71,35,106,54,32,50,4,89,258,108,0
117,"BERNARD W. (SG)
Science City Jena",32,688:41:00,233,23,59,39.00%,49,156,31.40%,72,215,33.50%,40,50,80.00%,38,11,49,88,42,49,2,90,212,-70,0
78,"MARTIN K. (SF)
MHP RIESEN Ludwigsburg",25,528:27:00,232,68,143,47.60%,16,45,35.60%,84,188,44.70%,48,59,81.40%,60,22,82,30,24,33,9,69,229,-15,0
47,"VAUGHN K. (PG)
FRAPORT SKYLINERS",21,617:05:00,229,49,119,41.20%,21,67,31.30%,70,186,37.60%,68,77,88.30%,43,13,56,80,19,45,1,52,215,-43,0
58,"STRELNIEKS J. (PG)
Brose Bamberg",22,461:59:00,224,37,59,62.70%,39,90,43.30%,76,149,51.00%,33,40,82.50%,47,2,49,81,14,24,1,35,265,242,0
114,"LO M. (PG)
Brose Bamberg",30,561:45:00,224,44,88,50.00%,37,86,43.00%,81,174,46.60%,25,29,86.20%,51,6,57,78,17,49,4,56,234,123,0
119,"HOBBS B. (PG)
ratiopharm ulm",31,661:06:00,224,30,60,50.00%,45,110,40.90%,75,170,44.10%,29,34,85.30%,77,15,92,170,45,56,6,36,381,320,2
103,"GüNTHER P. (PG)
ratiopharm ulm",28,614:52:00,223,32,82,39.00%,30,88,34.10%,62,170,36.50%,69,79,87.30%,25,1,26,98,5,40,0,49,194,127,0
107,"SILINS O. (SF)
Telekom Baskets Bonn",28,633:08:00,220,32,75,42.70%,44,110,40.00%,76,185,41.10%,24,26,92.30%,55,13,68,29,11,17,9,71,209,-36,0
120,"BRAUN T. (SF)
ratiopharm ulm",30,775:29:00,216,53,98,54.10%,22,83,26.50%,75,181,41.40%,44,60,73.30%,100,18,118,56,27,26,4,74,273,211,0
106,"BAROVIC F. (C)
Telekom Baskets Bonn",27,391:11:00,213,72,130,55.40%,0,0,0.00%,72,130,55.40%,69,102,67.70%,56,28,84,15,12,44,15,65,204,-41,0
33,"SCRUBB T. (SF)
GIESSEN 46ers",18,496:25:00,212,55,102,53.90%,24,65,36.90%,79,167,47.30%,30,36,83.30%,64,29,93,30,33,24,5,23,255,30,1
130,"MöNNINGHOFF M. (SG)
BG Göttingen",33,823:14:00,211,23,62,37.10%,46,120,38.30%,69,182,37.90%,27,30,90.00%,79,17,96,42,22,39,3,66,219,-159,0
123,"WACHALSKI S. (PF)
medi bayreuth",31,551:29:00,207,23,38,60.50%,46,87,52.90%,69,125,55.20%,23,25,92.00%,73,24,97,9,18,17,1,40,257,119,0
122,"SEIFERTH A. (C)
medi bayreuth",30,514:36:00,206,79,139,56.80%,0,1,0.00%,79,140,56.40%,48,74,64.90%,79,40,119,37,11,31,8,74,263,-36,1
67,"CRAWFORD D. (SF)
MHP RIESEN Ludwigsburg",21,467:06:00,205,52,109,47.70%,19,60,31.70%,71,169,42.00%,44,61,72.10%,57,17,74,25,10,27,13,51,185,40,0
80,"COTTON T. (SG)
MHP RIESEN Ludwigsburg",22,576:22:00,201,53,116,45.70%,18,53,34.00%,71,169,42.00%,41,47,87.20%,48,12,60,56,23,36,7,47,207,-8,0
111,"JOHNSON N. (PG)
FC Bayern München",26,469:28:00,201,35,89,39.30%,23,62,37.10%,58,151,38.40%,62,72,86.10%,50,8,58,80,17,55,3,73,201,196,0
27,"OHLBRECHT T. (C)
ratiopharm ulm",16,279:02:00,199,65,94,69.10%,7,16,43.80%,72,110,65.50%,48,54,88.90%,44,26,70,5,9,25,12,39,226,65,1
72,"BERRY D. (SG)
WALTER Tigers Tübingen",21,468:19:00,199,43,83,51.80%,20,67,29.90%,63,150,42.00%,53,62,85.50%,37,10,47,44,18,37,0,40,175,-137,0
63,"SIVA P. (PG)
ALBA BERLIN",20,473:34:00,198,31,66,47.00%,31,76,40.80%,62,142,43.70%,43,54,79.60%,35,4,39,108,33,58,1,56,230,79,0
90,"GOODWIN S. (C)
Science City Jena",22,354:25:00,195,69,119,58.00%,4,9,44.40%,73,128,57.00%,45,89,50.60%,67,40,107,12,13,40,10,36,198,-88,3
125,"KLEPEISZ T. (PG)
Basketball Löwen Braunschweig",29,624:53:00,188,13,33,39.40%,35,106,33.00%,48,139,34.50%,57,62,91.90%,30,10,40,75,22,51,4,83,182,-46,0
133,"HECKMANN P. (SF)
Brose Bamberg",32,629:26:00,188,49,80,61.30%,15,55,27.30%,64,135,47.40%,45,57,79.00%,73,14,87,47,19,30,9,60,237,245,0
135,"MUNOZ A. (SF)
WALTER Tigers Tübingen",33,560:42:00,186,22,54,40.70%,34,114,29.80%,56,168,33.30%,40,48,83.30%,53,14,67,29,14,31,3,54,148,-129,0
113,"ZISIS N. (PG)
Brose Bamberg",24,460:16:00,183,32,64,50.00%,19,54,35.20%,51,118,43.20%,62,63,98.40%,39,9,48,82,9,27,1,36,228,181,0
137,"HAUKOHL S. (SF)
Science City Jena",33,493:23:00,183,47,79,59.50%,13,40,32.50%,60,119,50.40%,50,63,79.40%,68,27,95,21,9,35,10,60,211,-65,0
87,"ENGLISH C. (SG)
ALBA BERLIN",20,346:18:00,179,20,54,37.00%,42,91,46.20%,62,145,42.80%,13,17,76.50%,44,6,50,41,9,26,1,28,167,30,0
121,"MILLER M. (SF)
ALBA BERLIN",25,471:54:00,178,38,62,61.30%,24,65,36.90%,62,127,48.80%,30,41,73.20%,71,17,88,32,17,17,18,60,240,19,0
95,"HAMMONDS C. (PG)
MHP RIESEN Ludwigsburg",21,633:20:00,177,36,69,52.20%,29,74,39.20%,65,143,45.50%,18,29,62.10%,36,4,40,102,14,37,2,30,209,34,1
45,"DUGGINS V. (SG)
EWE Baskets Oldenburg",16,424:07:00,175,61,121,50.40%,8,29,27.60%,69,150,46.00%,29,34,85.30%,33,11,44,42,13,35,1,22,154,14,0
128,"KIEL N. (PF)
FRAPORT SKYLINERS",27,402:47:00,173,38,68,55.90%,11,34,32.40%,49,102,48.00%,64,81,79.00%,51,29,80,14,12,34,10,62,185,12,0
129,"TOPPERT C. (SF)
MHP RIESEN Ludwigsburg",27,492:29:00,173,5,11,45.50%,50,123,40.70%,55,134,41.00%,13,15,86.70%,39,12,51,16,9,14,0,35,154,37,0
132,"GAFFNEY T. (PF)
ALBA BERLIN",28,634:48:00,171,51,91,56.00%,12,48,25.00%,63,139,45.30%,33,39,84.60%,104,30,134,43,36,31,25,36,296,-14,1
136,"BLECK F. (SF)
Eisbären Bremerhaven",30,631:35:00,168,55,88,62.50%,7,34,20.60%,62,122,50.80%,37,61,60.70%,61,28,89,38,22,22,10,63,221,-103,0
142,"GAVEL A. (SG)
FC Bayern München",32,682:48:00,167,38,87,43.70%,21,64,32.80%,59,151,39.10%,28,34,82.40%,46,10,56,110,25,43,0,65,217,246,0
139,"WILLIAMS L. (PG)
BG Göttingen",30,611:39:00,165,37,82,45.10%,24,59,40.70%,61,141,43.30%,19,31,61.30%,28,16,44,76,21,53,1,75,162,-94,0
146,"MANIGAT J. (SG)
GIESSEN 46ers",33,470:13:00,165,22,59,37.30%,29,61,47.50%,51,120,42.50%,34,51,66.70%,37,9,46,35,13,41,1,59,133,-66,0
84,"BOYKIN J. (PF)
Basketball Löwen Braunschweig",18,382:07:00,163,49,95,51.60%,14,38,36.80%,63,133,47.40%,23,29,79.30%,34,24,58,18,7,22,5,37,153,-129,0
145,"THEIS S. (PF)
Basketball Löwen Braunschweig",31,524:34:00,156,24,52,46.20%,28,75,37.30%,52,127,40.90%,24,32,75.00%,39,21,60,22,7,25,5,46,142,-142,0
141,"RADOSAVLJEVIC B. (C)
ALBA BERLIN",29,276:00:00,155,58,96,60.40%,1,5,20.00%,59,101,58.40%,36,54,66.70%,31,25,56,25,9,32,4,59,157,-27,0
149,"SCHWARTZ T. (SF)
Basketball Löwen Braunschweig",32,580:07:00,155,13,27,48.10%,40,104,38.50%,53,131,40.50%,9,10,90.00%,39,21,60,21,10,15,3,39,155,-121,0
152,"TADDA K. (SG)
ratiopharm ulm",33,573:57:00,153,21,39,53.80%,26,61,42.60%,47,100,47.00%,33,38,86.80%,45,11,56,63,15,28,2,49,203,216,0
115,"RADOSEVIC L. (C)
Brose Bamberg",20,342:35:00,147,61,86,70.90%,0,1,0.00%,61,87,70.10%,25,42,59.50%,32,23,55,16,7,21,9,34,170,54,0
134,"FREASE K. (C)
Science City Jena",25,415:44:00,147,62,127,48.80%,0,1,0.00%,62,128,48.40%,23,65,35.40%,54,24,78,17,10,39,9,51,114,-38,0
40,"SANFORD V. (SG)
s.Oliver Würzburg",13,271:31:00,146,52,98,53.10%,9,26,34.60%,61,124,49.20%,15,21,71.40%,39,6,45,39,21,16,2,27,168,10,0
138,"AMAIZE R. (SG)
medi bayreuth",26,372:21:00,143,33,58,56.90%,16,43,37.20%,49,101,48.50%,29,38,76.30%,26,9,35,32,27,22,1,60,155,42,0
144,"OBST A. (PG)
GIESSEN 46ers",28,453:52:00,143,20,42,47.60%,27,89,30.30%,47,131,35.90%,22,27,81.50%,29,1,30,27,3,35,1,38,80,-92,0
143,"WOLF J. (PF)
Science City Jena",27,478:54:00,140,32,51,62.70%,20,74,27.00%,52,125,41.60%,16,19,84.20%,52,22,74,44,13,22,7,57,180,-93,0
53,"HUFF S. (SF)
FRAPORT SKYLINERS",13,348:53:00,139,24,42,57.10%,24,61,39.30%,48,103,46.60%,19,27,70.40%,28,12,40,10,6,16,4,26,120,10,0
155,"AKPINAR I. (PG)
ALBA BERLIN",32,460:39:00,138,28,56,50.00%,18,51,35.30%,46,107,43.00%,28,38,73.70%,36,9,45,32,16,24,1,72,137,32,0
94,"BROADUS R. (PG)
RASTA Vechta",16,348:08:00,137,39,78,50.00%,13,46,28.30%,52,124,41.90%,20,30,66.70%,20,8,28,69,21,35,1,34,139,-131,0
157,"LOESING B. (PG)
MHP RIESEN Ludwigsburg",32,491:09:00,135,35,68,51.50%,16,75,21.30%,51,143,35.70%,17,20,85.00%,16,11,27,69,22,28,0,65,130,-42,0
31,"SMOTRYCZ E. (PF)
Eisbären Bremerhaven",11,195:49:00,130,19,41,46.30%,22,46,47.80%,41,87,47.10%,26,36,72.20%,31,9,40,22,9,9,3,27,139,-14,0
150,"STAIGER L. (SG)
Brose Bamberg",27,311:38:00,129,6,11,54.50%,39,78,50.00%,45,89,50.60%,0,0,0.00%,32,2,34,11,8,8,1,21,131,109,0
158,"GESKE N. (PG)
RASTA Vechta",32,514:54:00,129,26,62,41.90%,16,54,29.60%,42,116,36.20%,29,43,67.40%,32,7,39,112,13,49,1,85,157,-140,0
156,"UGRAI M. (PF)
s.Oliver Würzburg",30,536:23:00,128,32,62,51.60%,12,40,30.00%,44,102,43.10%,28,40,70.00%,52,24,76,26,14,33,17,77,158,-47,0
88,"MCNEAL J. (PG)
Brose Bamberg",14,342:09:00,125,34,60,56.70%,14,28,50.00%,48,88,54.60%,15,17,88.20%,40,9,49,22,19,24,6,44,155,112,0
43,"HASS C. (SF)
Phoenix Hagen",11,286:10:00,123,19,44,43.20%,26,66,39.40%,45,110,40.90%,7,9,77.80%,24,4,28,15,13,14,5,27,103,-114,0
160,"DILEO A. (SG)
Telekom Baskets Bonn",32,523:33:00,122,32,65,49.20%,12,40,30.00%,44,105,41.90%,22,34,64.70%,35,7,42,76,26,28,0,45,165,-71,0
77,"TRICE R. (SG)
MHP RIESEN Ludwigsburg",13,325:44:00,121,18,48,37.50%,25,60,41.70%,43,108,39.80%,10,13,76.90%,40,8,48,31,11,16,3,20,130,39,0
164,"REYES-NAPOLES E. (PG)
Science City Jena",33,464:57:00,119,16,51,31.40%,26,82,31.70%,42,133,31.60%,9,12,75.00%,24,3,27,30,6,27,4,62,65,-140,0
163,"LISCHKA B. (PF)
GIESSEN 46ers",32,402:21:00,118,27,45,60.00%,15,37,40.50%,42,82,51.20%,19,28,67.90%,34,18,52,15,1,19,3,38,121,-78,0
159,"MCCRAY D. (PG)
MHP RIESEN Ludwigsburg",29,435:47:00,113,22,46,47.80%,20,65,30.80%,42,111,37.80%,9,19,47.40%,29,6,35,38,10,26,1,62,92,-2,0
172,"KOCH F. (SF)
Telekom Baskets Bonn",33,371:59:00,112,15,22,68.20%,23,52,44.20%,38,74,51.40%,13,17,76.50%,39,2,41,23,9,11,4,38,138,-40,0
161,"WARECH T. (SF)
RASTA Vechta",29,348:07:00,110,17,44,38.60%,19,51,37.30%,36,95,37.90%,19,26,73.10%,33,12,45,15,13,13,3,45,107,-139,0
127,"ALEKSANDROV N. (PF)
Eisbären Bremerhaven",17,283:22:00,109,25,44,56.80%,13,44,29.60%,38,88,43.20%,20,24,83.30%,24,13,37,22,7,23,8,49,106,-43,0
